Pupil ID,Gender,Ethnicity,SEN,PP,Math_Mock_1 ,Math_Mock_2 ,Math_Result
1,Male,White - British,K,T,5,5,5
2,Female,White - British,N,F,5,5,4
3,Female,White and Any Other Asian Background,N,F,8,9,9
4,Female,White - British,N,F,5,4,5
5,Female,White - British,N,F,2,2,3
6,Female,White - British,N,F,4,4,3
7,Female,White - British,N,T,5,5,5
8,Female,White - British,N,F,6,7,8
9,Female,White - British,N,T,3,4,4
10,Female,White Other,N,F,4,4,4
11,Female,White - British,N,F,4,4,4
12,Female,White - British,N,T,5,4,4
13,Male,White - British,K,T,1,1,1
14,Female,White - British,K,T,2,3,2
15,Female,White - British,N,T,4,4,4
16,Female,Black Caribbean,K,T,6,6,6
17,Female,White - British,K,T,1,2,2
18,Female,White - British,N,T,4,3,3
19,Female,White - British,N,F,7,7,7
20,Male,White - British,K,T,5,5,5
21,Male,White - British,N,F,4,4,5
22,Male,White - British,N,F,3,3,3
23,Female,White - British,N,T,4,4,4
24,Female,White - British,K,F,4,4,5
25,Female,White - British,N,F,7,7,7
26,Male,White - British,N,T,6,6,6
27,Male,White - British,K,T,1,1,2
28,Male,White - British,N,F,6,6,7
29,Female,White - British,N,F,4,4,4
30,Female,White - British,N,T,7,6,6
31,Female,White - British,N,T,6,6,5
32,Male,White - British,N,F,8,8,8
33,Female,White - British,N,T,4,4,5
34,Female,White - British,N,T,3,3,4
35,Female,White - British,N,T,3,3,4
36,Female,White and Asian,N,T,7,7,7
37,Male,White - British,N,F,7,8,8
38,Male,White - British,K,F,1,1,2
39,Female,White - British,N,T,3,2,3
40,Male,White and Black African,K,F,7,5,7
41,Female,White - British,N,F,7,8,8
42,Female,White - British,N,F,4,4,4
43,Male,White - British,K,T,1,1,1
44,Male,Information Not Yet Obtained,N,T,4,4,4
45,Male,White - British,N,F,4,2,3
46,Female,Information Not Yet Obtained,N,T,2,3,3
47,Male,White - British,N,T,6,6,6
48,Female,Black - African,N,T,4,4,4
49,Male,White - British,N,F,7,8,8
50,Male,White - British,K,T,5,4,6
51,Male,White - British,N,F,3,5,4
52,Male,White - British,K,T,5,5,5
53,Female,White - British,N,F,7,7,7
54,Male,White - British,K,F,2,3,2
55,Female,White - British,K,F,6,6,6
56,Male,White - British,N,T,5,5,5
57,Female,Any Other Asian Background,N,T,6,5,6
58,Male,White - British,N,F,4,4,4
59,Male,White - British,N,T,4,1,4
60,Male,White - British,N,T,1,1,2
61,Female,White - British,N,F,5,4,5
62,Male,White - British,N,T,5,5,5
63,Male,White - British,N,T,3,4,3
64,Male,Any Other White Background,K,F,4,5,5
65,Male,White - British,E,F,6,6,6
66,Female,White - British,K,T,1,1,1
67,Female,White - British,N,T,3,4,4
68,Male,White - British,N,T,7,7,8
69,Female,White - British,N,T,3,3,3
70,Female,White - British,K,T,2,3,3
71,Male,White - British,N,F,7,7,8
72,Male,White - British,N,F,6,8,7
73,Male,White - British,N,T,1,1,1
74,Male,White - British,N,F,5,5,5
75,Male,White - British,N,F,5,5,6
76,Female,White - British,K,F,4,2,3
77,Male,White - British,N,F,7,7,8
78,Female,White - British,N,F,2,3,3
79,Female,White - British,N,T,3,3,3
80,Female,White - British,N,F,2,2,2
81,Male,White - British,N,T,4,4,4
82,Female,White - British,N,F,7,8,8
83,Female,White - British,N,F,3,4,4
84,Female,White - British,N,T,2,3,2
85,Female,White - British,N,T,3,4,4
86,Female,White - British,K,T,1,1,1
87,Female,White - British,N,F,4,5,4
88,Female,White - British,N,F,5,5,5
89,Female,White - British,K,T,4,5,5
90,Male,White - British,N,T,6,7,7
91,Male,White - British,N,F,5,6,6
92,Male,Information Not Yet Obtained,E,F,2,2,2
93,Female,White - British,N,T,5,6,5
94,Female,White - British,N,F,5,5,5
95,Male,White - British,N,T,4,5,5
96,Female,White - British,N,T,4,4,5
97,Female,White - British,N,T,4,5,4
98,Male,White - British,N,F,5,5,5
99,Male,White - British,N,F,3,3,3
